# Generator: SplatKing 1.0.7 (build 26)
# Generated: 2026-06-27T17:25:43Z
# World frame: right-handed, gravity-aligned, +Y up
# Pose convention: COLMAP world-to-camera (X_cam = R * X_world + t)
# Camera-local axes: +X right, +Y down, +Z forward
# Applied basis change: M = diag(1, -1, -1) (ARKit camera → COLMAP camera; 180° about +X)
# Units: meters (translations, points3D); pixels (intrinsics)
# points3D.txt sentinels: ERROR = -1, TRACK[] empty by design (no bundle adjustment, no 2D-3D correspondences)
#
# Image list with two lines of data per image:
#   IMAGE_ID, QW, QX, QY, QZ, TX, TY, TZ, CAMERA_ID, NAME
#   POINTS2D[] as (X, Y, POINT3D_ID)
# Number of images: 71
38 0.754925150 -0.241172640 0.113422826 0.599215352 -0.529494169 0.239117598 0.080633211 1 wide_20260627_192507_409.jpg

39 0.732535189 -0.275103971 -0.019406309 0.622361147 -0.422194112 0.208887030 0.072964291 1 wide_20260627_192508_408.jpg

40 0.693566470 -0.274488665 -0.203093611 0.634329969 -0.386496250 0.264920505 0.000930673 1 wide_20260627_192509_409.jpg

41 0.621501035 -0.165646795 -0.372078736 0.669219707 -0.442868808 0.246993453 0.063616582 1 wide_20260627_192510_409.jpg

42 0.556174402 -0.069046882 -0.470621335 0.681482297 -0.479074273 0.238456287 0.089889742 1 wide_20260627_192511_409.jpg

43 0.387487802 0.107573061 -0.615560263 0.677766038 -0.564013292 0.112937151 0.156225983 1 wide_20260627_192512_409.jpg

44 0.292040815 0.195292901 -0.636897125 0.686246965 -0.604441506 0.053143195 0.142729235 1 wide_20260627_192513_409.jpg

45 -0.308942594 -0.318199928 0.636340368 -0.631168928 -0.645473080 0.031320973 0.383292973 1 wide_20260627_192514_408.jpg

46 -0.339726697 -0.366848650 0.630017111 -0.594210636 -0.707418239 0.034760366 0.602333043 1 wide_20260627_192515_409.jpg

47 -0.316662775 -0.394655843 0.646693956 -0.570752469 -0.739357406 0.031865095 0.663693291 1 wide_20260627_192516_409.jpg

48 -0.203226886 -0.410585449 0.677210051 -0.575764681 -0.706868371 -0.033310460 0.427090955 1 wide_20260627_192517_408.jpg

49 -0.020894165 -0.445120235 0.704488627 -0.552383187 -0.642242562 -0.155122190 0.313977312 1 wide_20260627_192518_409.jpg

50 0.148858410 -0.484753710 0.674623263 -0.536412591 -0.520110350 -0.244506565 0.130353081 1 wide_20260627_192519_409.jpg

51 -0.407461700 0.651834131 -0.563410035 0.302748016 -0.311151810 -0.355919404 -0.034263814 1 wide_20260627_192520_408.jpg

52 -0.318307554 0.696651168 -0.622510450 0.160742623 -0.457091874 -0.342120092 0.135809470 1 wide_20260627_192521_409.jpg

53 -0.366807104 0.690925269 -0.620670822 0.053315584 -0.495217237 -0.276383756 0.141609464 1 wide_20260627_192522_409.jpg

54 -0.485105998 0.697273753 -0.524526068 -0.057912771 -0.415870536 -0.264113821 0.016885138 1 wide_20260627_192523_408.jpg

55 0.594328198 -0.670500416 0.404406736 0.183462195 -0.356808805 -0.168164579 -0.059457856 1 wide_20260627_192524_409.jpg

56 0.668957269 -0.609462399 0.291279013 0.310174617 -0.315257548 -0.067366938 -0.084077104 1 wide_20260627_192525_409.jpg

57 0.714537100 -0.532166844 0.184910813 0.414780875 -0.349061346 0.026968149 -0.024953467 1 wide_20260627_192526_408.jpg

58 0.726166258 -0.479213636 0.087853846 0.485096442 -0.377074897 0.087041826 0.038079382 1 wide_20260627_192527_409.jpg

59 0.717012812 -0.462584946 -0.054743340 0.518566256 -0.257444579 0.131735209 0.059571506 1 wide_20260627_192528_409.jpg

60 0.677169402 -0.432783673 -0.200495786 0.560304679 -0.178473787 0.175335188 0.046358166 1 wide_20260627_192529_409.jpg

61 0.636898490 -0.521313778 -0.278657131 0.494916621 -0.011137939 0.183876413 -0.162861685 1 wide_20260627_192530_409.jpg

62 0.681608624 -0.598629657 -0.082821414 0.412544338 -0.057929165 0.085841575 -0.164643662 1 wide_20260627_192531_410.jpg

63 0.678282524 -0.632174062 0.132708330 0.350253156 -0.228076648 -0.005050211 -0.134230474 1 wide_20260627_192532_409.jpg

64 0.610329638 -0.655658971 0.305727379 0.322707014 -0.364717329 -0.122171306 0.045492886 1 wide_20260627_192533_409.jpg

65 0.543192751 -0.703750208 0.406806693 0.210203697 -0.348859818 -0.219401360 0.090291900 1 wide_20260627_192534_409.jpg

66 -0.422885423 0.751884339 -0.505533573 -0.016542843 -0.409206175 -0.282552376 0.150021245 1 wide_20260627_192535_409.jpg

67 -0.322447102 0.735191539 -0.584937095 0.115628123 -0.492145339 -0.299370117 0.210722552 1 wide_20260627_192536_410.jpg

68 -0.222543103 0.716362373 -0.628679234 0.205090075 -0.554101792 -0.337084399 0.299685090 1 wide_20260627_192537_408.jpg

69 -0.093533385 0.676814936 -0.673257712 0.282660755 -0.589777805 -0.324656702 0.389392259 1 wide_20260627_192538_410.jpg

70 -0.027485181 -0.606524256 0.677001617 -0.415982815 -0.665245153 -0.226680068 0.407329021 1 wide_20260627_192539_408.jpg

71 -0.075253681 -0.602202667 0.690937712 -0.392802635 -0.656543930 -0.248117217 0.482729986 1 wide_20260627_192540_408.jpg

